code,ruler,independence_year,independence_type,overseas_empire
USA,GBR,1783,2,1
CAN,GBR,1867,2,1
BHS,GBR,1973,2,1
CUB,ESP,1902,2,1
HTI,FRA,1804,2,1
DOM,ESP,1844,3,1
JAM,GBR,1962,2,1
TTO,GBR,1962,2,1
BRB,GBR,1966,2,1
DMA,GBR,1978,2,1
GRD,GBR,1974,2,1
LCA,GBR,1979,2,1
VCT,GBR,1979,2,1
ATG,GBR,1981,2,1
KNA,GBR,1983,2,1
MEX,ESP,1821,2,1
BLZ,GBR,1981,2,1
GTM,ESP,1839,3,1
HND,ESP,1838,3,1
SLV,ESP,1840,3,1
NIC,ESP,1838,3,1
CRI,ESP,1838,3,1
PAN,ESP,1903,3,1
COL,ESP,1819,2,1
VEN,ESP,1830,3,1
GUY,GBR,1966,2,1
SUR,NLD,1975,2,1
ECU,ESP,1830,3,1
PER,ESP,1824,2,1
BRA,PRT,1822,2,1
BOL,ESP,1825,2,1
PRY,ESP,1811,2,1
CHL,ESP,1818,2,1
ARG,ESP,1816,2,1
URY,ESP,1828,3,1
GBR,,1066,1,0
IRL,GBR,1922,3,1
NLD,,1581,2,0
BEL,NLD,1830,3,1
LUX,NLD,1867,2,1
FRA,,9430,1,0
MCO,,1419,1,0
LIE,,1806,4,0
CHE,,1291,1,0
ESP,,1479,1,0
AND,,1278,1,0
PRT,,1139,1,0
DEU,,1618,1,0
GER,,1949,4,0
DDR,,1949,4,0
POL,DEU,1918,3,1
AUT,,1918,4,0
HUN,,1918,4,0
CSK,,1918,4,0
CZE,,1993,4,0
SVK,,1993,4,0
ITA,,1720,1,0
SMR,,3010,1,0
MLT,GBR,1964,2,1
ALB,TUR,1913,2,0
MNE,TUR,2006,3,0
MKD,TUR,1991,3,0
HRV,,1991,3,0
YUG,TUR,1878,2,0
BIH,TUR,1992,3,0
XKX,TUR,2008,3,0
SVN,,1991,3,0
GRC,TUR,1829,2,0
CYP,GBR,1960,2,1
BGR,TUR,1878,2,0
MDA,TUR,1991,3,0
ROU,TUR,1878,2,0
RUS,,1457,1,0
EST,RUS,1918,2,0
LVA,RUS,1918,2,0
LTU,RUS,1918,2,0
UKR,RUS,1991,3,0
BLR,RUS,1991,3,0
ARM,TUR,1991,3,0
GEO,RUS,1991,3,0
AZE,RUS,1991,3,0
FIN,,1917,2,0
SWE,,1523,4,0
NOR,,1905,3,0
DNK,,9800,1,0
ISL,,1944,3,0
CPV,PRT,1975,2,1
STP,PRT,1975,2,1
GNB,PRT,1974,2,1
GNQ,ESP,1968,2,1
GMB,GBR,1965,2,1
MLI,FRA,1960,2,1
SEN,FRA,1960,2,1
BEN,FRA,1960,2,1
MRT,FRA,1960,2,1
NER,FRA,1960,2,1
CIV,FRA,1960,2,1
GIN,FRA,1958,2,1
BFA,FRA,1960,2,1
LBR,,1847,1,0
SLE,GBR,1961,2,1
GHA,GBR,1957,2,1
TGO,FRA,1960,2,1
CMR,FRA,1960,2,1
NGA,GBR,1960,2,1
GAB,FRA,1960,2,1
CAF,FRA,1960,2,1
TCD,FRA,1960,2,1
COG,FRA,1960,2,1
COD,BEL,1960,2,1
UGA,GBR,1962,2,1
KEN,GBR,1963,2,1
TZA,GBR,1961,2,1
EAZ,GBR,1963,2,1
BDI,BEL,1962,2,1
RWA,BEL,1962,2,1
SOM,ITA,1960,2,1
DJI,FRA,1977,2,1
ETH,,1855,1,0
ERI,ITA,1993,3,1
AGO,PRT,1975,2,1
MOZ,PRT,1975,2,1
ZMB,GBR,1964,2,1
ZWE,GBR,1965,2,1
MWI,GBR,1964,2,1
ZAF,GBR,1910,2,1
NAM,GBR,1990,2,1
LSO,GBR,1966,2,1
BWA,GBR,1966,2,1
SWZ,GBR,1968,2,1
MDG,FRA,1960,2,1
COM,FRA,1975,2,1
MUS,FRA,1968,2,1
SYC,GBR,1976,2,1
MAR,FRA,1666,1,1
DZA,FRA,1962,2,1
TUN,TUR,1591,2,0
LBY,TUR,1951,2,0
SDN,GBR,1956,2,1
SSD,GBR,2011,3,1
IRN,,1502,1,0
TUR,,1453,1,0
IRQ,TUR,1932,2,0
EGY,TUR,1831,2,0
SYR,TUR,1946,2,0
LBN,TUR,1943,2,0
JOR,TUR,1946,2,0
ISR,TUR,1948,2,0
SAU,TUR,1926,1,0
YEM,TUR,1918,2,0
YEM,GBR,1990,1,1
YMD,GBR,1967,2,1
KWT,GBR,1961,2,1
BHR,GBR,1971,2,1
QAT,GBR,1971,2,1
ARE,GBR,1971,2,1
OMN,PRT,1741,2,1
AFG,GBR,1919,2,1
TKM,RUS,1991,3,0
TJK,RUS,1991,3,0
KGZ,RUS,1991,3,0
UZB,RUS,1991,3,0
KAZ,RUS,1991,3,0
CHN,,1368,1,0
MNG,CHN,1921,3,0
TWN,,1949,3,0
PRK,JPN,1948,4,1
KOR,JPN,1948,4,1
JPN,,1590,1,0
IND,GBR,1947,2,1
BTN,GBR,1947,2,1
PAK,GBR,1947,2,1
BGD,GBR,1971,3,1
MMR,GBR,1948,2,1
LKA,GBR,1948,2,1
MDV,GBR,1965,2,1
NPL,,1768,1,0
THA,,1769,1,0
KHM,FRA,1953,2,1
LAO,FRA,1953,2,1
VNM,FRA,1954,2,1
VDR,FRA,1954,2,1
MYS,GBR,1957,2,1
SGP,GBR,1965,3,1
BRN,GBR,1984,2,1
PHL,ESP,1946,2,1
IDN,NLD,1949,2,1
TLS,PRT,2002,2,1
AUS,GBR,1901,1,1
PNG,GBR,1975,2,1
NZL,GBR,1907,1,1
VUT,GBR,1980,2,1
SLB,GBR,1978,2,1
KIR,GBR,1979,2,1
TUV,GBR,1978,2,1
FJI,GBR,1970,2,1
TON,GBR,1970,2,1
NRU,AUS,1968,2,0
MHL,USA,1986,2,1
PLW,USA,1994,2,1
FSM,USA,1986,2,1
WSM,NZL,1962,2,0
