session,year,theme,total,without_vote
74,2019,Decolonization & self-determination,24,18
74,2019,"Development, economy & environment",66,49
74,2019,Human rights,45,31
74,2019,Israel & Palestine,17,1
74,2019,Nuclear weapons & disarmament,64,30
74,2019,"Peace, security & conflicts",3,3
74,2019,"UN institutions, budget & law",21,20
74,2019,all,266,176
74,2019,gender,8,7
74,2019,other,26,24
75,2020,Decolonization & self-determination,27,20
75,2020,"Development, economy & environment",71,55
75,2020,Human rights,54,35
75,2020,Israel & Palestine,20,3
75,2020,Nuclear weapons & disarmament,72,35
75,2020,"Peace, security & conflicts",7,7
75,2020,"UN institutions, budget & law",53,51
75,2020,all,337,237
75,2020,gender,10,9
75,2020,other,33,31
76,2021,Decolonization & self-determination,26,20
76,2021,"Development, economy & environment",70,62
76,2021,Human rights,59,43
76,2021,Israel & Palestine,15,2
76,2021,Nuclear weapons & disarmament,65,30
76,2021,"Peace, security & conflicts",8,8
76,2021,"UN institutions, budget & law",54,53
76,2021,all,310,230
76,2021,gender,11,10
76,2021,other,13,12
77,2022,Decolonization & self-determination,30,23
77,2022,"Development, economy & environment",81,75
77,2022,Human rights,49,35
77,2022,Israel & Palestine,17,1
77,2022,Nuclear weapons & disarmament,74,37
77,2022,"Peace, security & conflicts",5,4
77,2022,"UN institutions, budget & law",72,66
77,2022,all,343,255
77,2022,gender,10,8
77,2022,other,15,14
78,2023,Decolonization & self-determination,26,20
78,2023,"Development, economy & environment",87,81
78,2023,Human rights,60,42
78,2023,Israel & Palestine,13,1
78,2023,Nuclear weapons & disarmament,69,31
78,2023,"Peace, security & conflicts",6,6
78,2023,"UN institutions, budget & law",52,47
78,2023,all,328,243
78,2023,gender,12,10
78,2023,other,15,15
79,2024,Decolonization & self-determination,30,23
79,2024,"Development, economy & environment",90,65
79,2024,Human rights,55,33
79,2024,Israel & Palestine,15,2
79,2024,Nuclear weapons & disarmament,81,39
79,2024,"Peace, security & conflicts",7,3
79,2024,"UN institutions, budget & law",75,61
79,2024,all,372,239
79,2024,gender,9,7
79,2024,other,19,13
80,2025,Decolonization & self-determination,25,14
80,2025,"Development, economy & environment",62,16
80,2025,Human rights,51,12
80,2025,Israel & Palestine,13,0
80,2025,Nuclear weapons & disarmament,66,20
80,2025,"Peace, security & conflicts",5,4
80,2025,"UN institutions, budget & law",46,35
80,2025,all,278,105
80,2025,gender,6,0
80,2025,other,10,4
