code,year,community
AUS,1946,pact:AUS
NZL,1946,pact:AUS
ARG,1946,pact:ARG
BOL,1946,pact:ARG
BRA,1946,pact:ARG
CHL,1946,pact:ARG
COL,1946,pact:ARG
CRI,1946,pact:ARG
CUB,1946,pact:ARG
DOM,1946,pact:ARG
ECU,1946,pact:ARG
GTM,1946,pact:ARG
HND,1946,pact:ARG
HTI,1946,pact:ARG
MEX,1946,pact:ARG
NIC,1946,pact:ARG
PAN,1946,pact:ARG
PER,1946,pact:ARG
PRY,1946,pact:ARG
URY,1946,pact:ARG
USA,1946,pact:ARG
VEN,1946,pact:ARG
ALB,1946,pact:ALB
CHN,1946,pact:ALB
CSK,1946,pact:ALB
EGY,1946,pact:ALB
FRA,1946,pact:ALB
GBR,1946,pact:ALB
IRN,1946,pact:ALB
IRQ,1946,pact:ALB
JOR,1946,pact:ALB
MNG,1946,pact:ALB
POL,1946,pact:ALB
PRT,1946,pact:ALB
RUS,1946,pact:ALB
YUG,1946,pact:ALB
AUS,1947,pact:AUS
NZL,1947,pact:AUS
ARG,1947,pact:ARG
BOL,1947,pact:ARG
BRA,1947,pact:ARG
CHL,1947,pact:ARG
COL,1947,pact:ARG
CRI,1947,pact:ARG
CUB,1947,pact:ARG
DOM,1947,pact:ARG
ECU,1947,pact:ARG
GTM,1947,pact:ARG
HND,1947,pact:ARG
HTI,1947,pact:ARG
MEX,1947,pact:ARG
NIC,1947,pact:ARG
PAN,1947,pact:ARG
PER,1947,pact:ARG
PRY,1947,pact:ARG
SLV,1947,pact:ARG
URY,1947,pact:ARG
USA,1947,pact:ARG
VEN,1947,pact:ARG
ALB,1947,pact:ALB
BGR,1947,pact:ALB
CHN,1947,pact:ALB
CSK,1947,pact:ALB
EGY,1947,pact:ALB
FRA,1947,pact:ALB
GBR,1947,pact:ALB
HUN,1947,pact:ALB
IRQ,1947,pact:ALB
JOR,1947,pact:ALB
MNG,1947,pact:ALB
POL,1947,pact:ALB
PRT,1947,pact:ALB
ROU,1947,pact:ALB
RUS,1947,pact:ALB
YUG,1947,pact:ALB
ALB,1948,pact:ALB
BGR,1948,pact:ALB
CHN,1948,pact:ALB
CSK,1948,pact:ALB
FIN,1948,pact:ALB
HUN,1948,pact:ALB
MNG,1948,pact:ALB
POL,1948,pact:ALB
ROU,1948,pact:ALB
RUS,1948,pact:ALB
YUG,1948,pact:ALB
AUS,1948,pact:AUS
NZL,1948,pact:AUS
ARG,1948,pact:ARG
BOL,1948,pact:ARG
BRA,1948,pact:ARG
CHL,1948,pact:ARG
COL,1948,pact:ARG
CRI,1948,pact:ARG
CUB,1948,pact:ARG
DOM,1948,pact:ARG
ECU,1948,pact:ARG
GTM,1948,pact:ARG
HND,1948,pact:ARG
HTI,1948,pact:ARG
MEX,1948,pact:ARG
NIC,1948,pact:ARG
PAN,1948,pact:ARG
PER,1948,pact:ARG
PRY,1948,pact:ARG
SLV,1948,pact:ARG
URY,1948,pact:ARG
USA,1948,pact:ARG
VEN,1948,pact:ARG
BEL,1948,pact:BEL
EGY,1948,pact:BEL
FRA,1948,pact:BEL
GBR,1948,pact:BEL
IRQ,1948,pact:BEL
JOR,1948,pact:BEL
LUX,1948,pact:BEL
NLD,1948,pact:BEL
PRT,1948,pact:BEL
AUS,1949,pact:AUS
NZL,1949,pact:AUS
ARG,1949,pact:ARG
BOL,1949,pact:ARG
BRA,1949,pact:ARG
CHL,1949,pact:ARG
COL,1949,pact:ARG
CRI,1949,pact:ARG
CUB,1949,pact:ARG
DOM,1949,pact:ARG
ECU,1949,pact:ARG
GTM,1949,pact:ARG
HND,1949,pact:ARG
HTI,1949,pact:ARG
MEX,1949,pact:ARG
NIC,1949,pact:ARG
PAN,1949,pact:ARG
PER,1949,pact:ARG
PRY,1949,pact:ARG
SLV,1949,pact:ARG
URY,1949,pact:ARG
VEN,1949,pact:ARG
ALB,1949,pact:ALB
BGR,1949,pact:ALB
CHN,1949,pact:ALB
CSK,1949,pact:ALB
FIN,1949,pact:ALB
HUN,1949,pact:ALB
MNG,1949,pact:ALB
POL,1949,pact:ALB
ROU,1949,pact:ALB
RUS,1949,pact:ALB
YUG,1949,pact:ALB
BEL,1949,pact:BEL
CAN,1949,pact:BEL
DNK,1949,pact:BEL
EGY,1949,pact:BEL
FRA,1949,pact:BEL
GBR,1949,pact:BEL
IRQ,1949,pact:BEL
ISL,1949,pact:BEL
ITA,1949,pact:BEL
JOR,1949,pact:BEL
LUX,1949,pact:BEL
NLD,1949,pact:BEL
NOR,1949,pact:BEL
PRT,1949,pact:BEL
USA,1949,pact:BEL
BEL,1950,pact:BEL
CAN,1950,pact:BEL
DNK,1950,pact:BEL
FRA,1950,pact:BEL
GBR,1950,pact:BEL
IRQ,1950,pact:BEL
ISL,1950,pact:BEL
ITA,1950,pact:BEL
JOR,1950,pact:BEL
LUX,1950,pact:BEL
NLD,1950,pact:BEL
NOR,1950,pact:BEL
PRT,1950,pact:BEL
USA,1950,pact:BEL
ALB,1950,pact:ALB
BGR,1950,pact:ALB
CHN,1950,pact:ALB
CSK,1950,pact:ALB
FIN,1950,pact:ALB
HUN,1950,pact:ALB
MNG,1950,pact:ALB
POL,1950,pact:ALB
ROU,1950,pact:ALB
RUS,1950,pact:ALB
AUS,1950,pact:AUS
NZL,1950,pact:AUS
ARG,1950,pact:ARG
BOL,1950,pact:ARG
BRA,1950,pact:ARG
CHL,1950,pact:ARG
COL,1950,pact:ARG
CRI,1950,pact:ARG
CUB,1950,pact:ARG
DOM,1950,pact:ARG
ECU,1950,pact:ARG
GTM,1950,pact:ARG
HND,1950,pact:ARG
HTI,1950,pact:ARG
MEX,1950,pact:ARG
NIC,1950,pact:ARG
PAN,1950,pact:ARG
PER,1950,pact:ARG
PRY,1950,pact:ARG
SLV,1950,pact:ARG
URY,1950,pact:ARG
VEN,1950,pact:ARG
EGY,1950,pact:EGY
LBN,1950,pact:EGY
SAU,1950,pact:EGY
SYR,1950,pact:EGY
YEM,1950,pact:EGY
AUS,1951,pact:AUS
BEL,1951,pact:AUS
CAN,1951,pact:AUS
DNK,1951,pact:AUS
FRA,1951,pact:AUS
GBR,1951,pact:AUS
GRC,1951,pact:AUS
IRQ,1951,pact:AUS
ISL,1951,pact:AUS
ITA,1951,pact:AUS
JOR,1951,pact:AUS
JPN,1951,pact:AUS
LUX,1951,pact:AUS
NLD,1951,pact:AUS
NOR,1951,pact:AUS
NZL,1951,pact:AUS
PHL,1951,pact:AUS
PRT,1951,pact:AUS
TUR,1951,pact:AUS
USA,1951,pact:AUS
ARG,1951,pact:ARG
BOL,1951,pact:ARG
BRA,1951,pact:ARG
CHL,1951,pact:ARG
COL,1951,pact:ARG
CRI,1951,pact:ARG
CUB,1951,pact:ARG
DOM,1951,pact:ARG
ECU,1951,pact:ARG
GTM,1951,pact:ARG
HND,1951,pact:ARG
HTI,1951,pact:ARG
MEX,1951,pact:ARG
NIC,1951,pact:ARG
PAN,1951,pact:ARG
PER,1951,pact:ARG
PRY,1951,pact:ARG
SLV,1951,pact:ARG
URY,1951,pact:ARG
VEN,1951,pact:ARG
ALB,1951,pact:ALB
BGR,1951,pact:ALB
CHN,1951,pact:ALB
CSK,1951,pact:ALB
FIN,1951,pact:ALB
HUN,1951,pact:ALB
MNG,1951,pact:ALB
POL,1951,pact:ALB
ROU,1951,pact:ALB
RUS,1951,pact:ALB
EGY,1951,pact:EGY
LBN,1951,pact:EGY
SAU,1951,pact:EGY
SYR,1951,pact:EGY
YEM,1951,pact:EGY
AUS,1952,pact:AUS
BEL,1952,pact:AUS
CAN,1952,pact:AUS
DNK,1952,pact:AUS
FRA,1952,pact:AUS
GBR,1952,pact:AUS
GRC,1952,pact:AUS
ISL,1952,pact:AUS
ITA,1952,pact:AUS
JPN,1952,pact:AUS
LUX,1952,pact:AUS
NLD,1952,pact:AUS
NOR,1952,pact:AUS
NZL,1952,pact:AUS
PHL,1952,pact:AUS
PRT,1952,pact:AUS
TUR,1952,pact:AUS
USA,1952,pact:AUS
ALB,1952,pact:ALB
BGR,1952,pact:ALB
CHN,1952,pact:ALB
CSK,1952,pact:ALB
FIN,1952,pact:ALB
HUN,1952,pact:ALB
MNG,1952,pact:ALB
POL,1952,pact:ALB
ROU,1952,pact:ALB
RUS,1952,pact:ALB
ARG,1952,pact:ARG
BOL,1952,pact:ARG
BRA,1952,pact:ARG
CHL,1952,pact:ARG
COL,1952,pact:ARG
CRI,1952,pact:ARG
CUB,1952,pact:ARG
DOM,1952,pact:ARG
ECU,1952,pact:ARG
GTM,1952,pact:ARG
HND,1952,pact:ARG
HTI,1952,pact:ARG
MEX,1952,pact:ARG
NIC,1952,pact:ARG
PAN,1952,pact:ARG
PER,1952,pact:ARG
PRY,1952,pact:ARG
SLV,1952,pact:ARG
URY,1952,pact:ARG
VEN,1952,pact:ARG
EGY,1952,pact:EGY
IRQ,1952,pact:EGY
JOR,1952,pact:EGY
LBN,1952,pact:EGY
SAU,1952,pact:EGY
SYR,1952,pact:EGY
YEM,1952,pact:EGY
ALB,1953,pact:ALB
BGR,1953,pact:ALB
CHN,1953,pact:ALB
CSK,1953,pact:ALB
FIN,1953,pact:ALB
HUN,1953,pact:ALB
MNG,1953,pact:ALB
POL,1953,pact:ALB
ROU,1953,pact:ALB
RUS,1953,pact:ALB
ARG,1953,pact:ARG
BOL,1953,pact:ARG
BRA,1953,pact:ARG
CHL,1953,pact:ARG
COL,1953,pact:ARG
CRI,1953,pact:ARG
CUB,1953,pact:ARG
DOM,1953,pact:ARG
ECU,1953,pact:ARG
GTM,1953,pact:ARG
HND,1953,pact:ARG
HTI,1953,pact:ARG
MEX,1953,pact:ARG
NIC,1953,pact:ARG
PAN,1953,pact:ARG
PER,1953,pact:ARG
PRY,1953,pact:ARG
SLV,1953,pact:ARG
URY,1953,pact:ARG
VEN,1953,pact:ARG
ARE,1953,pact:ARE
EGY,1953,pact:ARE
IRQ,1953,pact:ARE
JOR,1953,pact:ARE
LBN,1953,pact:ARE
SAU,1953,pact:ARE
SYR,1953,pact:ARE
TUN,1953,pact:ARE
YEM,1953,pact:ARE
AUS,1953,pact:AUS
BEL,1953,pact:AUS
CAN,1953,pact:AUS
DNK,1953,pact:AUS
FRA,1953,pact:AUS
GBR,1953,pact:AUS
GRC,1953,pact:AUS
ISL,1953,pact:AUS
ITA,1953,pact:AUS
JPN,1953,pact:AUS
KOR,1953,pact:AUS
LBY,1953,pact:AUS
LUX,1953,pact:AUS
NLD,1953,pact:AUS
NOR,1953,pact:AUS
NZL,1953,pact:AUS
PHL,1953,pact:AUS
PRT,1953,pact:AUS
TUR,1953,pact:AUS
USA,1953,pact:AUS
ALB,1954,pact:ALB
BGR,1954,pact:ALB
CHN,1954,pact:ALB
CSK,1954,pact:ALB
FIN,1954,pact:ALB
HUN,1954,pact:ALB
MNG,1954,pact:ALB
POL,1954,pact:ALB
ROU,1954,pact:ALB
RUS,1954,pact:ALB
ARG,1954,pact:ARG
BOL,1954,pact:ARG
BRA,1954,pact:ARG
CHL,1954,pact:ARG
COL,1954,pact:ARG
CRI,1954,pact:ARG
CUB,1954,pact:ARG
DOM,1954,pact:ARG
ECU,1954,pact:ARG
GTM,1954,pact:ARG
HND,1954,pact:ARG
HTI,1954,pact:ARG
MEX,1954,pact:ARG
NIC,1954,pact:ARG
PAN,1954,pact:ARG
PER,1954,pact:ARG
PRY,1954,pact:ARG
SLV,1954,pact:ARG
URY,1954,pact:ARG
VEN,1954,pact:ARG
ARE,1954,pact:ARE
EGY,1954,pact:ARE
IRQ,1954,pact:ARE
JOR,1954,pact:ARE
LBN,1954,pact:ARE
SAU,1954,pact:ARE
SYR,1954,pact:ARE
TUN,1954,pact:ARE
YEM,1954,pact:ARE
AUS,1954,pact:AUS
BEL,1954,pact:AUS
CAN,1954,pact:AUS
DNK,1954,pact:AUS
FRA,1954,pact:AUS
GBR,1954,pact:AUS
GER,1954,pact:AUS
GRC,1954,pact:AUS
ISL,1954,pact:AUS
ITA,1954,pact:AUS
JPN,1954,pact:AUS
KOR,1954,pact:AUS
LBY,1954,pact:AUS
LUX,1954,pact:AUS
NLD,1954,pact:AUS
NOR,1954,pact:AUS
NZL,1954,pact:AUS
PHL,1954,pact:AUS
PRT,1954,pact:AUS
TUR,1954,pact:AUS
TWN,1954,pact:AUS
USA,1954,pact:AUS
AUS,1955,pact:AUS
BEL,1955,pact:AUS
CAN,1955,pact:AUS
DNK,1955,pact:AUS
FRA,1955,pact:AUS
GBR,1955,pact:AUS
GER,1955,pact:AUS
GRC,1955,pact:AUS
ISL,1955,pact:AUS
ITA,1955,pact:AUS
JPN,1955,pact:AUS
KOR,1955,pact:AUS
LBY,1955,pact:AUS
LUX,1955,pact:AUS
NLD,1955,pact:AUS
NOR,1955,pact:AUS
NZL,1955,pact:AUS
PHL,1955,pact:AUS
PRT,1955,pact:AUS
TUR,1955,pact:AUS
TWN,1955,pact:AUS
USA,1955,pact:AUS
YUG,1955,pact:AUS
ALB,1955,pact:ALB
BGR,1955,pact:ALB
CHN,1955,pact:ALB
CSK,1955,pact:ALB
DDR,1955,pact:ALB
FIN,1955,pact:ALB
HUN,1955,pact:ALB
MNG,1955,pact:ALB
POL,1955,pact:ALB
ROU,1955,pact:ALB
RUS,1955,pact:ALB
ARG,1955,pact:ARG
BOL,1955,pact:ARG
BRA,1955,pact:ARG
CHL,1955,pact:ARG
COL,1955,pact:ARG
CRI,1955,pact:ARG
CUB,1955,pact:ARG
DOM,1955,pact:ARG
ECU,1955,pact:ARG
GTM,1955,pact:ARG
HND,1955,pact:ARG
HTI,1955,pact:ARG
MEX,1955,pact:ARG
NIC,1955,pact:ARG
PAN,1955,pact:ARG
PER,1955,pact:ARG
PRY,1955,pact:ARG
SLV,1955,pact:ARG
URY,1955,pact:ARG
VEN,1955,pact:ARG
ARE,1955,pact:ARE
EGY,1955,pact:ARE
IRQ,1955,pact:ARE
JOR,1955,pact:ARE
LBN,1955,pact:ARE
SAU,1955,pact:ARE
SYR,1955,pact:ARE
TUN,1955,pact:ARE
YEM,1955,pact:ARE
AUS,1956,pact:AUS
BEL,1956,pact:AUS
CAN,1956,pact:AUS
DNK,1956,pact:AUS
FRA,1956,pact:AUS
GBR,1956,pact:AUS
GER,1956,pact:AUS
GRC,1956,pact:AUS
ISL,1956,pact:AUS
ITA,1956,pact:AUS
JPN,1956,pact:AUS
