code,year,regime,libdem
AFG,1946,0,0.067
AFG,1947,0,0.067
AFG,1948,0,0.067
AFG,1949,0,0.068
AFG,1950,0,0.069
AFG,1951,0,0.069
AFG,1952,0,0.067
AFG,1953,0,0.067
AFG,1954,0,0.066
AFG,1955,0,0.066
AFG,1956,0,0.066
AFG,1957,0,0.066
AFG,1958,0,0.066
AFG,1959,0,0.066
AFG,1960,0,0.066
AFG,1961,0,0.066
AFG,1962,0,0.066
AFG,1963,0,0.071
AFG,1964,0,0.092
AFG,1965,0,0.095
AFG,1966,0,0.097
AFG,1967,0,0.097
AFG,1968,0,0.097
AFG,1969,0,0.097
AFG,1970,0,0.096
AFG,1971,0,0.096
AFG,1972,0,0.095
AFG,1973,0,0.081
AFG,1974,0,0.051
AFG,1975,0,0.051
AFG,1976,0,0.051
AFG,1977,0,0.051
AFG,1978,0,0.050
AFG,1979,0,0.046
AFG,1980,0,0.042
AFG,1981,0,0.044
AFG,1982,0,0.045
AFG,1983,0,0.045
AFG,1984,0,0.045
AFG,1985,0,0.045
AFG,1986,0,0.045
AFG,1987,0,0.045
AFG,1988,0,0.047
AFG,1989,0,0.047
AFG,1990,0,0.045
AFG,1991,0,0.041
AFG,1992,0,0.033
AFG,1993,0,0.023
AFG,1994,0,0.023
AFG,1995,0,0.022
AFG,1996,0,0.019
AFG,1997,0,0.022
AFG,1998,0,0.022
AFG,1999,0,0.022
AFG,2000,0,0.022
AFG,2001,0,0.028
AFG,2002,0,0.085
AFG,2003,0,0.085
AFG,2004,,0.089
AFG,2005,1,0.111
AFG,2006,1,0.192
AFG,2007,1,0.193
AFG,2008,1,0.196
AFG,2009,1,0.196
AFG,2010,1,0.192
AFG,2011,1,0.192
AFG,2012,1,0.194
AFG,2013,1,0.194
AFG,2014,1,0.199
AFG,2015,1,0.201
AFG,2016,1,0.188
AFG,2017,1,0.183
AFG,2018,1,0.176
AFG,2019,1,0.162
AFG,2020,1,0.167
AFG,2021,0,0.041
AFG,2022,0,0.011
AFG,2023,0,0.015
AFG,2024,0,0.014
AFG,2025,0,0.018
AGO,1946,0,0.034
AGO,1947,0,0.034
AGO,1948,0,0.034
AGO,1949,0,0.034
AGO,1950,0,0.034
AGO,1951,0,0.034
AGO,1952,0,0.034
AGO,1953,0,0.034
AGO,1954,0,0.034
AGO,1955,0,0.034
AGO,1956,0,0.034
AGO,1957,0,0.034
AGO,1958,0,0.034
AGO,1959,0,0.034
AGO,1960,0,0.034
AGO,1961,0,0.034
AGO,1962,0,0.034
AGO,1963,0,0.034
AGO,1964,0,0.034
AGO,1965,0,0.034
AGO,1966,0,0.034
AGO,1967,0,0.034
AGO,1968,0,0.034
AGO,1969,0,0.035
AGO,1970,0,0.035
AGO,1971,0,0.035
AGO,1972,0,0.035
AGO,1973,0,0.042
AGO,1974,0,0.043
AGO,1975,0,0.042
AGO,1976,0,0.046
AGO,1977,0,0.046
AGO,1978,0,0.046
AGO,1979,0,0.046
AGO,1980,0,0.045
AGO,1981,0,0.045
AGO,1982,0,0.045
AGO,1983,0,0.045
AGO,1984,0,0.045
AGO,1985,0,0.045
AGO,1986,0,0.045
AGO,1987,0,0.045
AGO,1988,0,0.045
AGO,1989,0,0.045
