code,year,share,source
AFE,1997,11.8,ipu
AFE,1998,12.8,ipu
AFE,1999,12.5,ipu
AFE,2000,14.8,ipu
AFE,2001,15.4,ipu
AFE,2002,16.7,ipu
AFE,2003,16.7,ipu
AFE,2004,17.4,ipu
AFE,2005,19.3,ipu
AFE,2006,19.8,ipu
AFE,2007,20.2,ipu
AFE,2008,21.4,ipu
AFE,2009,22.4,ipu
AFE,2010,22.6,ipu
AFE,2011,25.2,ipu
AFE,2012,25.0,ipu
AFE,2013,25.9,ipu
AFE,2014,25.7,ipu
AFE,2015,28.1,ipu
AFE,2016,29.0,ipu
AFE,2017,28.7,ipu
AFE,2018,28.8,ipu
AFE,2019,29.3,ipu
AFE,2020,30.1,ipu
AFE,2021,30.5,ipu
AFE,2022,30.5,ipu
AFE,2023,30.5,ipu
AFE,2024,30.2,ipu
AFE,2025,30.4,ipu
AFG,1946,0.0,vdem
AFG,1947,0.0,vdem
AFG,1948,0.0,vdem
AFG,1949,0.0,vdem
AFG,1950,0.0,vdem
AFG,1951,0.0,vdem
AFG,1952,0.0,vdem
AFG,1953,0.0,vdem
AFG,1954,0.0,vdem
AFG,1955,0.0,vdem
AFG,1956,0.0,vdem
AFG,1957,0.0,vdem
AFG,1958,0.0,vdem
AFG,1959,0.0,vdem
AFG,1960,0.0,vdem
AFG,1961,0.0,vdem
AFG,1962,0.0,vdem
AFG,1963,0.0,vdem
AFG,1964,0.0,vdem
AFG,1965,2.0,vdem
AFG,1966,2.0,vdem
AFG,1967,2.0,vdem
AFG,1968,2.0,vdem
AFG,1969,0.0,vdem
AFG,1970,0.0,vdem
AFG,1971,0.0,vdem
AFG,1972,0.0,vdem
AFG,1978,0.0,vdem
AFG,1979,0.0,vdem
AFG,1980,0.0,vdem
AFG,1981,0.0,vdem
AFG,1982,0.0,vdem
AFG,1983,0.0,vdem
AFG,1984,0.0,vdem
AFG,1985,0.0,vdem
AFG,1986,0.0,vdem
AFG,1987,0.0,vdem
AFG,1988,3.7,vdem
AFG,1989,3.7,vdem
AFG,1990,3.7,vdem
AFG,1991,3.7,vdem
AFG,2005,27.3,ipu
AFG,2006,27.3,ipu
AFG,2007,27.7,ipu
AFG,2008,27.7,ipu
AFG,2009,27.3,ipu
AFG,2010,27.7,ipu
AFG,2011,27.7,ipu
AFG,2012,27.7,ipu
AFG,2013,27.7,ipu
AFG,2014,27.7,ipu
AFG,2015,27.7,ipu
AFG,2016,27.7,ipu
AFG,2017,27.7,ipu
AFG,2018,27.3,vdem
AFG,2019,27.9,ipu
AFG,2020,27.0,ipu
AFG,2021,27.0,ipu
AFW,2000,6.8,ipu
AFW,2001,7.4,ipu
AFW,2002,7.9,ipu
AFW,2003,9.0,ipu
AFW,2004,10.1,ipu
AFW,2005,10.7,ipu
AFW,2006,11.2,ipu
AFW,2007,12.3,ipu
AFW,2008,11.2,ipu
AFW,2009,11.1,ipu
AFW,2010,11.2,ipu
AFW,2011,11.9,ipu
AFW,2012,13.6,ipu
AFW,2013,14.7,ipu
AFW,2014,15.6,ipu
AFW,2015,15.1,ipu
